,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Opponent Defensive Rank vs Position,Injury Indicator,Injury Details,Hot,Cold
23,Jaylen Brown,SF,UTA@BOS,BOS,30.78,6157,7600,-$1443,32.08,6015,38.56,35.17,33.47,9.0, , ,0.0,0.0
24,Jarrett Allen,C,CLE@MIA,CLE,29.34,5869,7500,-$1631,27.95,5240,32.43,31.94,29.53,15.0, , ,0.0,0.0
25,Collin Sexton,SG,CLE@MIA,CLE,23.99,4798,7400,-$2602,25.52,4785,34.18,35.92,47.1,15.0, , ,1.1828921607146965,0.0
26,Kemba Walker,PG,UTA@BOS,BOS,24.23,4846,7100,-$2254,26.08,4890,31.1,28.71,28.93,4.0, , ,0.0,0.0
27,Anthony Edwards,SG,MIN@LAL,MIN,32.74,6547,7000,-$453,34.95,6552,26.53,30.84,31.63, , , ,0.0,0.0
28,Lonzo Ball,PG,NO@POR,NO,29.25,5851,6800,-$949,31.16,5842,30.62,30.76,31.13,24.0, , ,0.0,0.0
29,Thaddeus Young,PF,OKC@CHI,CHI,25.58,5115,6800,-$1685,25.41,4765,29.75,34.41,35.77,10.0, , ,0.0,0.0
30,Montrezl Harrell,C,MIN@LAL,LAL,22.48,4496,6600,-$2104,22.12,4148,26.83,27.27,31.17,19.0, , ,0.0,0.0
31,D'Angelo Russell,SG,MIN@LAL,MIN,25.45,5090,6600,-$1510,26.95,5054,32.05,33.22,33.7,5.0,O,Knee,0.0,0.0
32,John Collins,PF,ATL@HOU,ATL,26.93,5386,6500,-$1114,27.72,5197,32.05,33.05,28.1,6.0, , ,0.0,0.0
33,Mike Conley,PG,UTA@BOS,UTA,23.62,4724,6500,-$1776,25.16,4718,30.92,28.13,27.87,19.0, , ,0.0,0.0
34,De'Andre Hunter,SF,ATL@HOU,ATL,20.43,4085,6400,-$2315,20.21,3788,29.97,30.35,33.6,4.0,O,Knee,0.0,0.0
35,Robert Covington,PF,NO@POR,POR,28.73,5747,6200,-$453,29.3,5494,26.0,31.95,39.67,21.0, , ,0.2140131142046532,0.0
